2103,2034
2104,2029
2106,2026
2106,2023
2107,2018
2108,2015
2110,2012
2112,2008
2112,2004
2113,2001
2114,1998
2116,1994
2121,1989
2124,1986
2129,1981
2133,1977
2136,1973
2139,1970
2141,1967
2143,1963
2146,1957
2148,1952
2150,1949
2151,1946
2153,1942
2155,1938
2157,1933
2159,1930
2161,1926
2164,1924
2164,1918
2167,1914
2169,1909
2171,1906
2172,1900
2175,1896
2177,1893
2179,1888
2182,1882
2185,1877
2188,1872
2189,1869
2192,1864
2193,1859
2196,1856
2196,1853
2199,1848
2201,1844
2203,1837
2206,1833
2207,1829
2209,1824
2213,1818
2212,1814
2213,1811
2215,1806
2216,1801
2218,1797
2219,1794
2221,1790
2223,1785
2218,1779
2225,1777
2225,1773
2228,1770
2230,1766
2231,1762
2233,1757
2236,1750
2237,1745
2238,1742
2240,1739
2241,1734
2243,1729
2243,1725
2246,1722
2247,1716
2250,1712
2250,1709
2252,1704
2254,1699
2254,1695
2257,1694
2257,1690
2258,1684
2261,1680
2262,1676
2265,1670
2264,1673
2264,1670
2266,1667
2267,1664
2269,1656
2272,1653
2271,1649
2274,1645
2275,1642
2277,1637
2279,1632
2281,1628
2283,1624
2284,1618
2287,1612
2287,1608
2288,1605
2291,1601
2292,1598
2292,1595
2294,1591
2295,1588
2295,1584
2293,1579
2292,1575
2292,1570
2291,1567
2293,1562
2294,1557
2295,1553
2295,1549
2296,1545
2297,1541
2298,1536
2298,1533
2299,1529
2299,1526
2300,1523
2301,1520
2301,1517
2302,1514
2302,1511
2302,1507
2302,1504
2303,1501
2304,1498
2304,1495
2305,1492
2306,1489
2307,1484
2307,1477
2308,1472
2308,1469
2307,1466
2307,1463
2307,1459
2307,1456
2307,1453
2306,1448
2306,1445
2305,1442
2305,1439
2300,1440
