1506,896
1509,895
1513,894
1517,894
1520,894
1525,895
1528,895
1532,895
1535,898
1538,899
1541,899
1545,901
1548,902
1553,903
1557,906
1560,906
1563,907
1568,909
1573,910
1576,911
1581,913
1584,913
1588,915
1591,917
1594,917
1597,917
1602,919
1605,920
1610,922
1615,922
1620,924
1623,925
1628,927
1631,927
1636,929
1641,930
1645,932
1651,934
1655,935
1658,936
1663,937
1666,937
1669,939
1674,940
1678,942
1682,943
1685,943
1690,945
1693,946
1697,947
1700,948
1703,949
1707,951
1710,952
1715,953
1720,956
1725,957
1729,959
1732,960
1736,962
1742,964
1746,966
1749,967
1752,968
1757,970
1762,973
1768,975
1773,977
1777,979
1782,981
1785,982
1790,984
1795,986
1798,990
1801,994
1803,997
1806,999
1808,1002
1810,1006
1813,1010
1816,1014
1820,1018
1822,1021
1825,1025
1828,1029
1829,1032
1834,1036
1836,1040
1839,1044
1843,1049
1846,1053
1848,1057
1850,1060
1854,1063
1857,1067
1859,1070
1861,1073
1863,1076
1866,1080
1869,1084
1873,1088
1876,1092
1877,1095
1881,1099
1883,1103
1885,1106
1888,1110
1892,1114
1895,1118
1897,1121
1900,1124
1903,1128
1906,1133
1908,1136
1912,1141
1915,1145
1918,1149
1922,1153
1924,1157
1926,1160
1930,1165
1933,1169
1937,1173
1939,1177
1942,1180
1943,1183
1946,1186
1948,1189
1951,1192
1953,1196
1956,1199
1958,1202
1961,1206
1962,1209
1963,1213
1964,1217
1966,1222
1968,1226
1969,1229
1970,1232
1972,1236
1973,1239
1974,1243
1975,1246
1976,1249
1978,1253
1979,1256
1981,1260
1982,1263
1984,1268
1984,1271
1986,1275
1988,1279
1989,1283
1990,1287
1991,1290
1992,1293
1994,1298
1997,1303
1998,1308
1999,1311
2001,1315
2002,1319
2002,1323
2005,1327
2006,1330
2007,1333
2010,1334
2013,1334
2016,1332
2021,1332
2026,1330
2028,1327
2032,1326
2035,1324
2039,1323
2042,1321
2045,1320
2050,1317
2053,1317
2057,1316
2060,1314
2064,1311
2067,1311
2073,1307
2078,1303
2081,1301
2084,1299
2089,1296
2092,1295
2096,1293
2099,1293
2103,1290
2108,1288
2111,1287
2115,1285
2119,1284
2123,1284
2126,1284
2129,1283
2132,1282
2135,1281
2138,1279
2142,1278
2145,1277
2148,1278
2152,1280
2156,1282
2160,1284
2163,1285
2166,1287
2169,1288
2173,1290
2176,1291
2179,1293
2184,1294
2187,1295
2192,1296
2195,1297
2199,1298
2202,1298
2205,1299
2210,1300
2213,1301
2216,1301
2220,1303
2223,1303
2227,1304
2230,1305
2234,1306
2237,1307
2240,1307
2245,1308
2248,1309
2253,1311
2256,1311
2259,1312
2264,1313
2267,1313
2271,1315
2274,1316
2279,1317
2284,1318
2288,1319
2291,1319
2294,1320
2298,1322
2300,1326
2303,1330
2305,1334
2307,1338
2309,1342
2312,1346
2313,1349
2315,1352
2317,1355
2319,1358
2320,1361
2323,1365
2325,1368
2327,1372
2330,1376
2332,1381
2335,1385
2338,1389
2339,1394
2342,1397
