733,1288
730,1287
726,1285
722,1282
719,1281
716,1280
712,1278
709,1277
705,1275
701,1273
698,1272
695,1271
691,1269
688,1268
684,1266
681,1265
678,1264
673,1261
668,1259
665,1258
661,1256
658,1255
654,1253
648,1251
644,1249
639,1247
634,1245
630,1244
627,1242
623,1240
618,1238
615,1237
611,1235
606,1233
602,1232
598,1230
595,1229
592,1228
587,1225
586,1222
583,1218
579,1213
576,1209
575,1206
571,1203
570,1200
566,1196
563,1191
560,1187
557,1183
554,1178
551,1173
548,1170
546,1166
542,1161
539,1157
535,1152
532,1148
531,1145
527,1142
526,1139
523,1135
519,1130
514,1128
510,1129
507,1129
504,1129
499,1129
494,1127
491,1126
486,1125
481,1123
476,1122
471,1120
466,1118
461,1117
458,1116
453,1115
448,1113
445,1111
440,1111
435,1109
432,1108
429,1107
425,1105
422,1104
417,1101
414,1101
409,1099
405,1097
402,1096
397,1094
392,1092
388,1090
385,1089
381,1087
375,1085
371,1083
368,1082
365,1081
362,1080
357,1078
354,1077
350,1075
346,1074
342,1072
339,1071
335,1069
332,1069
329,1067
325,1065
320,1062
317,1061
312,1059
309,1057
306,1056
301,1054
297,1051
292,1049
287,1047
284,1047
282,1044
277,1043
274,1041
271,1040
268,1039
265,1038
261,1039
259,1044
257,1047
256,1050
255,1054
253,1057
252,1060
251,1064
249,1068
248,1071
246,1074
246,1077
244,1081
241,1086
241,1089
244,1093
247,1097
248,1101
250,1105
253,1109
256,1114
258,1119
261,1123
264,1127
265,1130
268,1134
