1883,1506
1884,1502
1885,1499
1886,1494
1887,1491
1891,1488
1892,1484
1897,1484
1894,1479
1895,1476
1896,1472
1899,1468
1900,1464
1903,1461
1905,1458
1906,1455
1908,1452
1910,1449
1912,1446
1913,1442
1918,1438
1918,1434
1921,1432
1922,1427
1925,1425
1926,1420
1929,1415
1931,1411
1934,1409
1936,1405
1938,1402
1939,1399
1941,1396
1943,1392
1947,1387
1950,1384
1954,1381
1958,1377
1962,1374
1966,1370
1970,1367
1974,1364
1978,1360
1982,1357
1986,1353
1990,1350
1994,1346
1998,1343
2002,1340
2005,1337
2008,1335
2011,1332
2015,1328
2019,1326
2026,1323
2031,1321
2036,1318
2039,1318
2044,1316
2047,1315
2050,1313
2055,1312
2058,1312
2063,1310
2068,1308
2071,1308
2074,1306
2079,1302
2082,1301
2085,1300
2088,1299
2093,1297
2098,1296
2102,1294
2105,1293
2110,1292
2113,1291
2117,1290
2121,1289
2124,1289
2128,1288
2131,1288
2136,1288
2140,1288
2145,1287
2148,1286
2153,1284
2157,1283
2160,1283
2165,1281
2169,1280
2172,1280
2175,1280
2179,1280
2182,1281
2185,1281
2189,1282
2193,1284
2196,1284
2200,1285
2203,1286
2206,1287
2209,1288
2213,1288
2218,1290
2221,1291
2227,1292
2231,1293
2234,1295
2238,1295
2241,1297
2244,1297
2249,1298
2253,1300
2258,1299
2261,1301
2265,1304
2269,1303
2273,1305
2277,1308
2281,1312
2284,1316
2287,1317
2290,1321
2294,1324
2298,1328
2302,1331
2305,1334
2308,1337
2311,1340
2313,1343
2316,1344
2319,1348
2322,1351
2325,1354
2327,1357
2328,1360
2330,1363
2331,1366
2333,1370
2335,1374
2336,1377
2338,1382
2339,1385
2338,1388
