1883,1055
1884,1060
1885,1063
1887,1068
1889,1072
1891,1077
1892,1080
1895,1085
1896,1090
1899,1095
1900,1099
1902,1102
1904,1106
1905,1109
1907,1114
1909,1119
1911,1124
1914,1129
1915,1134
1918,1138
1919,1141
1920,1146
1923,1151
1923,1154
1927,1159
1927,1162
1929,1166
1930,1172
1932,1178
1935,1182
1935,1185
1936,1188
1939,1192
1939,1195
1941,1199
1942,1202
1943,1205
1946,1211
1945,1214
1948,1217
1948,1220
1950,1225
1951,1228
1953,1232
1955,1235
1955,1238
1955,1241
1958,1246
1960,1251
1960,1254
1963,1259
1964,1264
1966,1269
1968,1274
1970,1278
1970,1281
1973,1286
1977,1290
1980,1296
1983,1299
1987,1303
1990,1307
1994,1312
1997,1316
2000,1320
2003,1322
2006,1326
2009,1328
2013,1331
2019,1332
2023,1331
2026,1330
2031,1328
2034,1326
2038,1324
2043,1321
2047,1319
2050,1319
2053,1318
2058,1316
2062,1314
2065,1314
2068,1312
2071,1311
2075,1309
2079,1306
2084,1303
2087,1302
2090,1301
2095,1299
2100,1297
2103,1296
2106,1295
2109,1293
2112,1293
2115,1292
2118,1291
2123,1289
2127,1289
2132,1288
2136,1288
2140,1288
2145,1286
2148,1287
2153,1289
2158,1290
2163,1292
2169,1295
2172,1297
2176,1297
2181,1299
2184,1300
2189,1302
2192,1303
2197,1305
2200,1306
2204,1308
2210,1310
2214,1311
2217,1313
2221,1315
2224,1316
2227,1317
2230,1318
2234,1319
2237,1321
2240,1321
2243,1323
2247,1324
2251,1327
2254,1327
2257,1328
2260,1329
2264,1331
2267,1333
2270,1333
2274,1335
2277,1336
2280,1337
2283,1339
2286,1339
2290,1341
2293,1342
2296,1343
2299,1345
2304,1346
2307,1348
2310,1352
2314,1355
2318,1360
2320,1363
2323,1367
2326,1370
2330,1374
2333,1378
2335,1381
2338,1385
2341,1389
